Symbol,Date,Open,High,Low,Close,Volume
AACG,28-Apr-2020,0.6943,0.748,0.6941,0.7479,20100
AAL,28-Apr-2020,10.29,11.63,10.21,11.26,114642900
AAME,28-Apr-2020,1.58,1.79,1.58,1.61,7300
AAOI,28-Apr-2020,9.92,10.1769,9.66,9.76,393200
AAON,28-Apr-2020,48.86,49.68,47.9,48.32,179800
AAPL,28-Apr-2020,285.08,285.83,278.2,278.58,28001100
AAWW,28-Apr-2020,32.25,33,30.72,31.92,692700
AAXJ,28-Apr-2020,64.66,64.67,63.71,63.71,1952700
AAXN,28-Apr-2020,73.63,76,71.12,75.34,658600
ABCB,28-Apr-2020,25.62,26.27,24.72,24.92,422400
ABEO,28-Apr-2020,2.6,2.6,2.3677,2.52,1154900
ABIO,28-Apr-2020,3.8791,3.8791,3.26,3.46,60800
ABMD,28-Apr-2020,166,167.85,161,164.4,582600
ABTX,28-Apr-2020,25,25.71,24.5582,25.44,94800
ABUS,28-Apr-2020,1.17,1.26,1.17,1.2,304700
ACAD,28-Apr-2020,51.89,52.27,50.2,50.64,1187400
ACAM,28-Apr-2020,9.97,9.97,9.97,9.97,700
ACAMU,28-Apr-2020,10.25,10.25,10.25,10.25,0
ACAMW,28-Apr-2020,0.5,0.5,0.5,0.5,0
ACBI,28-Apr-2020,12.61,12.82,12.1346,12.73,53800
ACER,28-Apr-2020,2.1,2.24,2.0896,2.21,83600
ACGL,28-Apr-2020,25.1,25.5378,24.29,24.75,2221200
ACGLO,28-Apr-2020,24.85,24.85,24.7,24.74,16900
ACGLP,28-Apr-2020,24.17,24.37,24.09,24.11,39000
ACHC,28-Apr-2020,25.29,25.42,23.52,24.16,527900
ACHV,28-Apr-2020,0.45,0.45,0.4,0.4173,434600
ACIA,28-Apr-2020,68.6,68.6,67.96,67.995,438500
ACIU,28-Apr-2020,7.69,7.69,7.13,7.2,113400
ACIW,28-Apr-2020,27.27,27.5,26.3,26.355,675400
ACLS,28-Apr-2020,23.76,24.775,23.27,24.44,327300
ACMR,28-Apr-2020,38.8,39.59,37.45,38.26,330300
ACNB,28-Apr-2020,27.37,28.45,26.12,27.6,24200
ACOR,28-Apr-2020,1.1,1.12,0.9849,0.9999,1723200
ACRS,28-Apr-2020,1.24,1.29,1.21,1.24,217700
ACRX,28-Apr-2020,1.58,1.59,1.44,1.48,874100
ACST,28-Apr-2020,0.53,0.54,0.525,0.534,805200
ACT,28-Apr-2020,21.53,21.735,21.52,21.6787,1200
ACTG,28-Apr-2020,2.72,2.72,2.61,2.64,60900
ACWI,28-Apr-2020,68.97,69.09,67.89,68,2974200
ACWX,28-Apr-2020,40.27,40.285,39.82,39.83,2978700
ADAP,28-Apr-2020,3.49,3.68,3.4,3.53,228200
ADBE,28-Apr-2020,353.09,353.45,332.57,333.45,3895500
